"","x"
"332","Pantry
Networking with several cultures
Philantropy and projects
Open 24/7
Beatiful Offices"
"333","Really professional and amazing culture. Also my team is multicultural and we have great relations. A really nice place to work in London city."
"334","The culture and colleagues make it a great place to work."
"335","-Lot's of perks (free food and drinks)
-Salary was good
-People are friendly
-Office is state of the art and very beautiful
-opportunities to do interesting projects and travel (for some positions)
-good opportunity to learn about the financial market
-opportunities to explore other career tracks within the company (if interested)
-Very diverse group of employees"
"336","1. Great compensation package, especially for the journalism profession
2. Colleagues were encouraging and extremely smart. I felt little to no feelings of animosity of politicking which are usually apparent in other workplaces.
3. Pantry, it makes the workplace feel like a home.
4. That air of transparency and openness about what we do. It's refreshing
5. Great communication between countries"
"337","Great learning curve in the market and cross-asset classes selling."
"338","1) Great Benefits. Besides food, health, etc., there are also a lot of great educational opportunities.
2) Smart People.  Most of the people working here are really intelligent and a pleasure to work with."
"339","Enterpreneurial environment, straight forward, and goal oriented culture."
"340","You can learn a lot here (if you want to). Salaries are competitive. Lots of nice people and there is tasty free food."
"341","Great Benefits Package
Smart and stimulating colleagues
Opportunity to learn about the world of finance.
Regular working hours after you have been here for a while(more or less)
Pay is good in good years. At the first sign of a lean market the incentive pay is disproportionately reduced.
Great place to stay if you have kids and need an easy job to coast through or are waiting to collect social security."
"342","Snacks, location, colleagues, benefits, vacation time"
"343","You are recognized for the good work to do. 
You are also given freedom to be entrepreneurial and explore different ideas. 
You learn a lot and people are generally quite friendly."
"344","fancy office and you are allowed to show off by inviting personal gusts anytime.
Work-wise -  trading floor environment, no privacy  - which is good, as you see your coworkers and share. they pay for your exams you passed them.  decent compensation package."
"345","Training program/Opportunities to learn
Benefits
Work environment"
"346","Young culture
Innovative
Aggressive when it comes to competition
Teamwork"
"347","The culture and colleagues make it a great place to work. good pantry. fresh food and free coffee. fast pace working style is pretty wall street style. expanding firm."
"348","Excellent resources at your disposal; dedicated colleagues; lots of in-house expertise; management will give you the tools you need. Free food is nice though hardly spectacular.

Above average pay and benefits

Strong pride and conviction that Bloomberg does it best. 

Deep commitment to quality (though ""quality"" can be oddly defined at times.)"
"349","Intelligent employees, sufficient vacation time, positive work environment"
"350","good location, good healthcare plans, big company
food bar is good, work to life balance is sorta good for most of the time"
"351","There's a lot of media reports about working at Bloomberg, especially in the news division and most of them are exaggerated. A lot is expected, but comp is based on performance - not seniority."
"352","If  you feel the need to get a Big Name on your resume, like I did, you could hardly go wrong with this company. There is an army of smart people working here."
"353","Competitive pay
Introduction to finance - market players ect
Pantry"
"354","The benefit used to be good. Now it is OK.  It is good to work there for a couple of years and move on.  Don't stay there too long."
"355","Great offices, good investment by the company in infrastructure, support given to some employees is outstanding.  Salaries tend to be better than average and benefits package is very good."
"356","Good benefits package
Snacks
The people who are not in any ""leadership"" roles"
"357","It is a great name to work for and will certainly bring in a good reputation. There is always an opportunity to learn more and take advantage of different career paths."
"358","Good office, location, and pantry."
"359","A lot of good people to work with, technically talented and diverse. A lot of interesting problems to solve in finance and technology (although this will vary by the team you're on - derivatives in my case) Compensation and benefits are pretty good."
"360","The flat corporate structure and 24 hour pantry promote dialogue and teamwork in the workplace."
"361","free food is not bad; also the coffee is free; don't have to pay premiums for healthcare which is nice"
"362","Great Benefits, Great people that work here, Amazing R&D team, Great Sales Work, If you come in with experience you will get pay very well.  R&D, Sales, News, Trading Solutions, are considered income producing side of the company."
"363","Good environment, canteen, benefits are fine."
"364","Many people from differents countries,big multinational"
"365","challenging, therefore can learn a lot and grow quickly.  Very good support and collaboration with others. Harding working is encouraged and the efforts will be seen and rewarded."
"366","Excellent working condition and open corporate culture. 
Flexible working condition. Lots of financial and technological working opportunities. 
World level technology."
"367","Great compensation, ample opportunities for advancement, every contribution is valued, friendly atmosphere, collaborative culture, meritocracy, very good training program, and taking part in recruiting is easy and fun."
"368","Diverse company
Active in the community
High energy
Lots of opportunity"
"369","The young and vibrant employees, the free food, the perks like free tickets to concerts"
"370","Pay is decent when factoring in bonuses
Benefits are better than most employers in the financial industry
Work Life Balance is acceptable"
"371","Great office building, 
Good salary, benefits, year over year raises and bonuses (on good years),
Company picnic is fun,
Free member access to museums,
If you are in the right group, interesting technology and enough autonomy where you can go crazy and learn a lot.
Relatively flexible hours.  I didn't work too many hours each week (45/50 max), and i showed up at around 9:30/10:00 AM  and left later with nobody... really caring (this depends on group, though)"
"372","Nice people, access to management.  Pay is decent for what you're doing.  Friendly work environment.  Everyone is treated with respect."
"373","- Free Meals Provided (food isn't 5 star, but it's free, which is a big cost advantage)
- Good Schedule
- Decent Work/Life Balance 
- Pay is on par with other major firms"
"374","State of the art. Free snacks."
"375","Good pay, excellent benefits and working environment, famous brand"
"376","plenty of information, lots to learn"
"377","Very smart people. 
Free snacks. 
Curved escalator (don't make fun of it.  Ever).  
Charlie Rose show guest sightings in the lobby.  Barbara Walters, Brad Pitt, the Sultan of Brunei, etc.
They print money like the Federal Reserve.  Don't tell them to change, 'cause it works."
"378","Development and growth within your role.  If management likes your idea, they will support you
Excellent benefits package"
"379","Poor assimilation techniques for bringing in experienced hires.  Good company for holding pattern while economy improves.  No clear path to get ahead.  Expected growth for comp is 2-5% annually."
"380","v good work life balance, holidays, traveling, transparency"
"381","Nice benefits and higher than average pay.  Free snacks and drinks and various training programs.  Larger than normal bonus packages."
"382","- great benefits
- great 401k
- 4 weeks off with 5 days roll-over
- a lot of education opportunities and classes
- support exploring other jobs within the company
- travel spending limits are generous"
"383","Generally surrounded by smart people who like to work hard, play hard, and solve problems as a team ... which makes for a good team-work and stimulating environment.  Also, lately more supportive of healthy lifestyles, with ability to occasionally work from home.  Various opportunities for further education available in-house."
"384","Great salary and vacation time. 12 week training program brings your coding up to speed. Good snacks and beverages. I got to move to NYC and be able to afford it."
"385","Pay is incredibly better than most places, so employees become very loyal to the company.
Free food and interesting office environment.
Great benefits and perks.
Generous parachute package when they terminate you."
"386","Tons of opportunity for career growth
You don't have to be a manager to be important
Lots of smart people
Fun environment"
"387","-Energetic atmosphere
-Great work culture especially with the open floor seating arrangement
-Flat organizational structure making people easily approachable 
- Meritocratic culture"
"388","Always stretched
Lots of opportunity
Ask for more work and ou will get it"
"389","Beautiful Office, located in NYC, stable company, decent pay, good raises, good benefits, good work hours (8 hour days), well respected company"
"390","Lots of room to move around between the different departments, room for growth if you work for it. A lot of promoting from within."
"391","Good salary, free food (even if it is only snack!!!), great summer parties, okay work."
"392","- Great financial software products
- Steep learning curve
- Exposure to wide range of financial institutions
- Opportunities to interact with high ranking clients within the financial institutions"
"393","diverse company
work with intelligent colleagues"
"394","*Fast-paced
*Opportunities for those who are prepared to seek it
*Diverse organization - you get the chance to move around"
"395","Great benefits
Great hours
Job security
Young, friendly environment"
"396","Good salary.
Nice building.
Friendly colleagues (for the most part).
Free snacks.
Open communication."
"397","- Good take-home salary
- Open door policy (no one has a room of his/her own)
- all managers, team members are easy to approach
- Out-of-the box solutions are encouraged and respected
- Company does a yearly Summer Picnic (which is good fun if you have a family and kids)
- The company has a lot of crebility in the financial circles so you get listened to
- Recently made good progress on developing Career Paths... (but its still very early)
- Good philanthropy & community building efforts
- Good training programs"
"398","-Its all about looks here. Everything in the company is shiny and bright.
-Perks used to be very good but most of them have been removed"
"399","Well run, great business to be in.
Great Benefits.
Fast paced work environment."
"400","Lots of exiting things to do and interesting projects to work on.  News, data, analytics, messaging, risk, trading systems, electronic trading, etc.  The list goes on and on."
"401","Pretty aggressive, and you can learn a lot"
"402","Benefits are nice, location is good, plenty of work, can learn new stuff"
"403","-Very welcoming to new starters, gain responsibility from day one
-more holiday days than other companies
-Beginning salary in UK for entry level is better than other financial firms"
"404","Flexible hours, open kitchen in Skillman office (do not trust people who says it is “free food” – it is part of your compensation. Company estimates that they spent $4600 annually on you and now even mention it in annual compensation statement. But they should be given credit for liberating you from your weekly grocery shopping and a task of finding something to eat in your empty fridge when you are late for the... work), great place to start your carrier when you are just out from college and cannot find a job ANYWHERE because no one needs your business major and, let’s face it, you learned nothing in college, annual summer parties that are actually are not so great as they used to be when company was smaller"
"405","Fast paced atmosphere. Everyday is different. You have the opportunity to be creative. The one thing you have to remain true to is that you cannot maintain an inexpensive product and be able to service your clients well."
"406","Very good benefits. Semi-formal culture. Smart co-workers."
"407","Excellent Benefits
Open atmosphere - good way to get to know lots and lots of colleagues, even if you don't work directly with them
Beautiful office space
Company has young, fresh feeling"
"408","Amazing work culture, open discussions. Very transparent"
"409","Good company if you want to have a good environment of workplace. Also, very good structure."
"410","Good salary, free food (even if it is only snack!!!), great summer parties, okay work."
"411","Company invests a lot into training for employees in sales/analytics in their first two years"
"412","Working with many smart people, great challenges, high visibility of features to customers."
"413","Open culture, encourage individualism while promoting a strong teamwork ethic"
"414","fringe benefits like free snacks, company paid sports league"
"415","*Overall compensation is actually quite good, especially for college grads, and exceptional employees can get raises approaching 20% for the first several years of their employment
*Benefits are outstanding.  I do not know anyone else who works for a company that pays 100% of the premium and, for example, two different ophthalmologists remarked to me that I had one of the best vision plans available.  Vacation time... is very good too--20 days plus 9 public holidays.  Compare that to Amex: only 23 days total for employees with 0-4 years of tenure.  Sick time is unlimited, but be careful with that--managers are hyper sensitive to abuse (rightfully so).  Only con with vacation time is that there's little opportunity to grow this--employees with 10+ years get a bump to 23 days, plus public holidays, but that's the max.
*Ample opportunity to move to a new role, although roles in Princeton office are not a varied as the 1,000 employees might suggest
*Bloomberg isn't afraid to promote young, enthusiastic employees.  There are employees who have been with the company for 20 years, but there are plenty with 7 or so that are being groomed as future leaders.  Bloomberg truly is a meritocracy."
"416","You get to work with lots of talented people
Lots of courses to improve your programming skills, financial skills, inter-personal skills etc."
"417","work with young, fun and intelligent people. good benefits and time off"
"418","Coaching
Benefits
Network
Training
Global offices
Best name on CV for this industry"
"419","Used to be considered a great first job out of college. Food and perks. Decent money"
"420","What you learn on the job, great product, cool offices, great place to learn about the broader markets.  Especially as a place to launch your career, it's hard to do better.  If you are interested in the markets to any breadth or depth, you will learn far mor in a year here than in two years in the best MBA program."
"421","pays well, good health benefits, you get to work with very smart guys"
"422","Fast culture, lots of changes (good for people who are flexible and adaptable). Great snacks and drinks in the pantry always. Fast growth, if you perform well you'll really shine, but there are limits (see the cons). Listens to your needs (in terms of career path and growth). Lots of training."
"423","There are quite a few benefits of working for Bloomberg:
* Compensation is quite competitive for NYC.
* Work/life balance is generally good.  In fact you won't see many people at work outside of normal working hours and none on weekends.
* Benefits are quite good as well.
* Company is stable.
* There is no dress code for R&D people."
"424","Good working environment. Career progresion allowing to move between teams"
"425","-surrounded by bright people
-hard working
-great office"
"426","Good benefits, very egalitarian, very transparent, opportunities to move around in the company."
"427","Free food, great benefits, Good pay."
"428","Free food, work/life balance, premier financial data company w/ great connections"
"429","Open work culture - makes it easier to communicate to higher management. 
With offices across the globe in 135 countries, this makes Bloomberg very cross cultural and broad. People with language skills have a good chance when applying for jobs."
"430","Dynamic company. Startup feel with a solid $20B business at its core."
"431","Fast-paced work; Dull moments are rare. But that's becase ... (see ""Cons"")."
"432","Company as a whole cares about employees. Benefits are top notch. Summer parties are the best and the company has excellent core values. Being a private company has a huge advantage that the company can invest in its people through education and other perks that are rarely found else where. They also promote volunteer work, being green, and focusing on your health."
"433","Challenge you, rewarding, decent salary."
"434","Good wage. Good benefits. Understanding if you fall ill."
"435","friendly people, great environment and they provide free food"
"436","Smart people, international colleagues, enough funding for reporting trips and congresses, nice office, good chances for advancement.  Salaries good compared to other media. Very open to change, new policies or technologies are instituted very quickly. Young tea."
"437","No titles so everyone is accessible. Everyone has the same 4 feet of desk space, 2--4-6 monitors, 3 drawers all in an open environment. You could be sitting next to a Pulitzer prize winning recipient, a genius and an average joe. The pantries are awesome, office ambiance is great. Lots of internal opportunities."
"438","Fantastic learning opportunities/extensive training. You'll meet a lot of great people."
"439","Good place to work, free food and opportunity to learn about different products"
"440","No retrenchment policy, great benefits for health and other well-being, work-life balance, open communication, dynamic environment."
"441","Meritocracy
Great working atmosphere
Employees are well-treated"
"442",">good training on the product
>good work environment
>truly flat, a chat with the CEO is always possible
>meritocracy 
>great office infrastructure
>good communication of Sr.Management with all employees of the firm
>a feeling that the management truly care for their employees"
"443","If you like bureaucracy, lots of proprietary software development, tons of red tape in getting your job done than this is the place for you!  If you have not fully developed your software development skills or like to pretend that you are something you are not, you can likely find your dream job at Bloomberg."
"444","Free snacks & drink all day!  Healthy & some not so healthy.  Helps the pocket.
Great open atmosphere - all high tech!"
"445","Lots of exposure to the financial markets and a wonderful benefits package.  Lots of smart coworkers and dynamic personalities walk the halls"
"446","great up to the latest technologies, superb compensation and benefit"
"447","Training and development is exceptional for new Grads up there with Investment Banks
Some pretty decent talent and diverse skills
Buildings are nice with Global offices all over the world"
"448","Fantastic support for continuing education, excellent location, interesting work, good benefits package inc private healthcare, open pay reviews, clear bonus structure. Supports the community and encourages involvement with local schools and charities.
10 week training program to get you up and contributing the minute you join your team."
"449","Great coworkers, lots of opportunities to meet great people, fancy offices, interesting areas of research, great stepping stone for other career opportunities, lots of opportunities to steer one's own research and career"
"450","good pay, good benefits, very good location"
"451","Good working hours - get up and off on time. 
Minimum hierarchy."
"452","Beautiful office, lovely amenities, they keep you well-fed, some nice people, and interesting meetings and events."
"453","Open culture, international global base, possibility to be innovative and create new products...if you are extremely proactive and follow up on ideas"
"454","Generally a good environment. Compensation is above average for the amount of work that actually gets done. Good benefits."
"455","- Free sneaks (but the selection has become worse)
- Nice office building in good location
- More stable than investment banks and other financial service firms"
"456","Bloomberg is a great company with great people. There's a very open work environment and everyone is very approachable. I would definitely recommend it to recent college grads."
"457","Good benefits package, fast paces environment"
"458","Very young company, beautiful building, reasonable hours, incredible job security, stress free, internal training"
"459","As I mentioned above , its  great to work with bloomberg because it has unbelivable transperency , the sales done by company is visible to all. No sprecial siting arrangement for bosses. No closed cubicles. Great accountability , every work item is ticketed and resposibilites are clear.   Its financially stable so only your performanc e matters. Good Pay and ability to contribute in new product  conceptualization ... and developement ."
"460","good access, some great travel opportunities, competitive salary"
"461","The FSD training class will teach you what you need to know about Bloomberg's proprietary technologies. Good opportunity for somebody straight out of uni, who knows C++ to a reasonable but not expert level. For those with a few years experience, getting the same pay and going through the same class is less appealing. Bloomberg's RAPID enviroment and BAS framework are easy to use and quick to develop new features on.... Bloomberg work you hard but the satisfaction you get from getting a lot of work done can be addictive. Free snacks and drinks in the pantry is also a plus. Lavish summer parties. Nice new ""lunch room""."
"462","20 vacation day! Very good medical insurance. Access to finance information."
"463","* Pay is good. Business is slowing down now but even during the financial crisis I got pretty good pay and bonuses. A lot of my coworkers quit and work for Google and they're getting less vacation and about the same salary.
* Good benefits. Four weeks vacation, good medical and dental insurance (used to be free but now it's $400 a year or so) and other perks like free entrance to of museums and occasional tickets... to high-society type events through the company's philanthropy
* Nice office in a nice location, with beautiful tropical fish and free snacks."
"464","-Good pay
-4 Weeks of vacation
-Free food in the pantry
-Get to learn a lot and meet new people all the time
-Reputation is a plus on the resume
-Nice environment"
"465","great benefits, interior design, pantry, values, people"
"466","Office was very nice, and brand new"
"467","Good pay.  Prestigious name on the resume.  Work here only for the name and short duration. Stepping stone for higher ground."
"468","Company that take cares of their employee by providing good benefits, sustainability, so2ciability and engages and empowers their employee to improve"
"469","Perks plus average salary. 
Good place for newly graduated students to gain experiences; 
The right place for guys and girls want to rise to the top, and smart guys have no ambitions but a easy life. 

The office in Skillman and Ridge Road is not  that bad, it is not as crowded as 731 office in NYC. If you happen do not have family, you do not need to cook, there would be breakfast, lunch and dinner. The... Skillman office is mins to shopping centers and restaurants, it is convenient to invite friends to dine out. There used to be shuttle bus to NYC office, making it convenient to meet your colleagues in Princeton and NYC. 

The NYC office on near Central Park, you can take subway to 56 St, Lexington Av, then walk several mins. In 
the 731 Lex bldg, they have one of the helix elevators in the world."
"470","colleagues, benefits, offices, ability to move around offices"
"471","There're free snacks and soft drinks.

People tend never to get fired. This is a major advantage if you happen to not be particularly good."
"472","Encouraging work environment and great colleagues. Bloomberg takes care of it's employees and promotes a healthy culture, both in and out of the workplace"
"473","Good teams with bright people, a lot of opportunities to contribute."
"474","People are very smart, excellent benefits, great product"
"475","great trainings and learning environment"
"476","Transparency, growth opportunities, challenging work, fast paced.
Free snacks, salads.
Excellent medical and other benefits"
"477","Good product, good enviroment, compensation seems to be adequate"
"478","Great medical coverage. Free snacks on multiple floors throughout the day. Medical center on site. Opportunities to move up as well as to take positions in other offices around the world."
"479","No overtime work required. Pretty flexible. Various training"
"480","work-life balance
generally nice people
opportunity to learn"
"481","Worked at Bloomberg from 1996 - 2000, it was a fast paced environment as well as a great place to learn technology as well as business."
"482","nice people to work with"
"483","Good salary
Nice view from the building
Big company"
"484","Flat organizational structure 
Sufficient resources to get the job done (seniors are willing to guide & support)
Great non-monetary benefits & welfare 
Opportunities to study capital markets beyond your own coverage
People are generally driven & enjoy the Bbg culture"
"485","Very bright, committed news people. Extraordinary depth on markets and financial coverage."
"486","- Good for entry level salesperson 
- Cutting edge technology
- Good People.  
- Snacks"
"487","Free snacks & food
Good company culture
Nice working time billing system"
"488","Great work place.  Flexible hours. Tele-commute.  Bonuses as per performance."
"489","good company good woring condition"
"490","Fast paced environment . Quick time to market"
"491","Mostly great colleges
Good managers who cares about their employees
Transparency (anyone can find out what other employees are working on)
Opportunity to get training on the job
Employees are encouraged to move around and there are programs specifically set up for employees to find the right team
Management becoming more concerned about the needs of developers (every getting new computers and much bigger... monitors)
Some good technical work done depending on the team"
"492","- many knowledgable and extremely bright people
- decent benefits other than salary
- impressive offices throughout the globe
- looks good on your CV"
"493","It pays well, and is very secure.  Sometimes there are free vegetables."
"494","Stable work conditions.
Free food and cool pantry.
Young and intelligent people.
Good way to learn more about finance and how to use Bloomberg Terminal.
OK basic salary."
"495","stable and relax working environment"
"496","Great colleagues, great offices, great reputation, great training and support. Kitchen is the best"
"497","Best minds, Cutting edge technology, stimulating environment, Challenging and multitask work  and high demands from clients keep us always on the edge of giving best service."
"498","Mountains of chips and rivers of soda... at the same time an on going compain to ""B fit"" 
No co-pay medical and 4 weeks of vacation, which is plenty needed to recover from all ""innovations"" that going on."
"499","- Great technologists
- Working at Bloomberg makes you distrust (but still like) many newer technologies. It's a Pro
- Job safety as long as you put a moderate effort
- Very good training available"
"500","Free Food
Fixed hours
Nice fish tanks"
"501","good atmosphere, nice peers and co workers"
"502","It's very bright and sunny, which might seem trivial but I personally find it very good for my mood to work in a bright office.  I like the financial aspects of the work, so once I found the team working on precisely what I was interested in, I became quite happy and satisfied.  Don't worry too much about the ""free food"", most of it is junk food, though the fruit is great.  

If you like finance more than cutting... edge software engineering, you'll find it a pleasant enough place to work at (on the good teams).  The bad teams, well, they are out there, do your homework before accepting the offer."
"503","Work load is balanced with personal life;
Learn many CS stuff and also financial knowledge;
Free courses;
Free food"
"504","Not much, unless you have no place to go."
"505","Opportunities are there for those with initiative...Great job security."
"506","Knowing that you can make a difference leads to good job satisfaction; the people you work with are great as long as you can get along reasonably well. The food is great, and manhattan is your backyard."
"507","Since the products that the teams develop are entirely client/customer based, you will be involved in the entire software development life cycle process. Teams are switching over to new technology (that's a very good sign). The entire company is transparent. You know what different teams are working on and the developers are easy to approach to."
"508","If you are brand new and could not find other options, perhaps you may get your train in faniance here. Remeber, try to switch to others as soon as possible when you get a chance."
"509","very good compensation, good health insurance plan. free snack and soda, breakfast."
"510","Great opportunity to meet and sell with other like minded colleagues. Opportunities to grow vertically are always available but takes time to jump roles. In the end, was offered a job which I held for two years"
"511","Company offers the ability to switch jobs internally every year, based on performance.
Excellent benefits package.
20 days vacation to start!"
"512","Please enter at least 5 words."
"513","Easy, hard, neutral, simple, strange"
"514","Excellent employee benefits; free snacks and breakfast."
"515","Smart people, good salary, great benefits, opportunities to change groups, try other things like philanthropic activities, recruiting etc. free food, open environment."
"516","Great benefits, Diverse and friendly culture/environment, Strong client base, Opportunity for internal mobility, Good resources available through various internal teams/colleague's backgrounds"
"517","NY office is spectacular with a lot of energy and daylight.
Your experience really depends on the department you work in but generally the company is extremely multicultural and the majority of the people you work with are smart and agreeable."
"518","* Smart colleagues
* Good compensation
* Ideal for folks interested in finance/software
* Transparency"
"519","Great food 
Noone is constantly over your shoulders"
"520","The well stocked kitchen and the initial training courses provided"
"521","- Excellent benefits, better than any other corporate in South Africa if not the best
- Flexible working hours, starting between 7-9am
- Very very long term incentive plans
- International travel once you enter the management structures
- Willing to relocate to international offices if the need arises"
"522","work, free food, opportunities, colleagues"
"523","Has internal ""Bloomberg University"" which is especially good for R&D folk.  Many well respected technical authors come and speak from outside.
Staff & colleagues are generally very smart
Opportunities to learn about many areas of finance as well as technical subjects.
Has a big snack kitchen and excellent fish tanks.  The London office is generally very nice and gives you a sense of pride.
There's not any... necessity to move into managerial positions if you are strong technically and want to stay doing hands on programming.
Bloomberg is very much involved in charities and encourages the involvement of it's employees in various volunteering activities.  These are a great experience.
The summer parties are excellent."
"524","*Overall Its a Great company to work for...
*You never stop learning new things
*Young and dynamic company
*Nice offices
*Job safety in difficult market conditions
*some good benefits : health insurance ,relocation packages, perks when travelling abroad on business"
"525","I was an analytics representative at Bloomberg.  Bloomberg spends a lot of time and money to train you on key fundamentals of finance, from equities, fixed income, fx/commodities, and economics.  the amount I learned in the short amount of time was much more than I expected.  Great place to get a knowledge base and learn a software widely used in the financial sector.  Good place to go into sales, as well, but with... the finance industry staggering, Bloomberg's sales are reflecting this negative turn (which affects bonuses)"
"526","The benefits are outstanding as are the offices with elaborate aquariums and cool looking conference rooms.  There is also free food, but watch for the Bloomberg 15!!"
"527","Lots of offices if you want to live abroad. Lots of choices for types of work. Great benefits."
"528","lots of work need to do"
"529","Stylish, comfortable offices 
Decent salaries
International company"
"530","Job stability - you won't get layed off unless you are completely incompetent, and even then you might not get layed off."
"531","Competitive salary, good benefits, free ""food"""
"532","- Pantry & Benefits
- A little higher than avg salary
- Young, energetic, smart colleagues"
"533","Great work-life balance.  Easy to move up  career wise after 1-2 years of work.  Great benefits, and ability to move around the company is fairly easy."
"534","Very organized, efficient, good environment, team work."
"535","The free food was always nice, the hours are semi flexible, and there is a ton of talent that arose from various academic backgrounds."
"536","Health benefits are great.  401k, vacation time are better than average.  Other than that there really are no pros to working at Bloomberg."
"537","Everything is team dependent
Pay, work ethics, quality of work etc.
In general, pay will be good in any team.  
If you are in a relatively new team then you may be using C++ and somewhat latest technologies."
"538","smart people, nice perks( food, benefits, building, access to bloomberg terminal), ownership of software, access to training materials and courses"
"539","Superb pantry; great culture; fun place!"
"540","Great colleagues.
Great benefits.
Good compensation.
Decent work life balance. 
Some software projects are interesting.
Lately they are improving how software projects are run. There has been some relaxing of the unending emphasis on Time-to-Market (i.e. deliver something asap) to actually taking the time to build something cool."
"541","Benefits.  Some cool people work here.  Smart, interesting colleagues.  There's a 20 word minimum but I am struggling to get to it.  It's a soul-destroying place to work."
"542","Good name to have on cv."
"543","awesome place to work fantastic"
"544","Excellent salary, not much else to be said about the place."
"545","Bloomberg is the best at news. They make the needed investments to stay on top. It's been a great company to work for."
"546","Depending on your team and manager the job can be exciting and fun
Job security is very high
Good work environment"
"547","-Good benefits, lot of growth and very helpful HR dept"
"548","respected product, access to professionals"
"549","Learn a lot of stuffs not only in CS and also in Finance"
"550","Access to the top executives at public companies, working with top notch people, competitive salary"
"551","Good health benefits from day 1.  Free snacks in the pantry."
"552","Very dynamic and fast paced culture"
"553","Lots of holidays and vacation days, work is relatively easy"
"554","Nice environment and smart people to work with"
"555","Gives you a lot of freedom at work, encourages changes within the team. Lately they have been lenient in allowing people to work from home."
"556","Great company to work if you are fresh from school. Easy people (mostly) during the interview process (Based in UK) Recommended if you want to jump IB afterwards."
"557","I learned alot about mayor bloomberg who is a very nice guy and that was cool, the interview was pretty standard and they made me feel like home"
"558","They are good to their employees, provide plenty of training, opportunities and benefits are on the more generous side."
"559","Bloomberg News is a place where you'll learn a lot, be challenged and work very hard. The company is all changing. There are a lot of talented journalists here, though many are misused. Resources, salary, benefits as good or better than nearly all other news organizations."
"560","Very dynamic place with a lot of different things going on. There is always an opportunity to learn and apply yourself on different projects."
"561","A great place for  the motivated"
"562","Great place to work, great culture, great perks"
"563","- Beautiful Office, 
- Pantry, corporate perks and Summer Party
- Work is rewarding and not too overwhelming
- The experience here is well recognized and valuable for future employment"
"564","Bloomberg cafeteria, decor, office are great.
There are lot of activities, events.
People are great as well."
"565","* Good Pay
* Opportunity to take ownership of products
* Good benefits and nice building
* Depending on the team there could be some very interesting work
* Good people to work with and lots of opportunities to work with very smart people"
"566","1. Benefits (the well-known pantry, vacation days, dental, healthcare, may pay for your part-time degree)
2. 5 days work in Asia
3. Good springboard into the finance industry
4. Easily rewarded $ during economic good times
5. Leader among vendors *good exit opportunities and bargain power if you want to go to other vendors*"
"567","Fast paced, smart people, great environment, industry standard"
"568","You get exposed to the market, clients, firms, people. If you are smart person you take advantage of these opportunities to learn and develop. There some great people that you can work with and learn from but you need to chase them. Great work life balance' literally - even senior people are you of the door at 6pm. Tend to be flexible in listening once you have prove you worth it."
"569","Very good health benefits, good amount of vacation"
"570","Many internal opportunities,, stable & less political environment, excellent for fresh graduate"
"571","-Strong brand name and hence looks good on your CV
-Nice offices conveniently located in the City
-Free food & drink from the pantry 
-Good in-house training courses"
"572","- office at 731 Lexington is very beautiful and easy to commute to.
- the food pantry is always stocked; you will be very spoiled.
- I'm a big fan of their trade floor seating style. It encourages openness and communication .
- training program for new hires is very good. You make many new friends.
- good benefits. 

Bloomberg was a great way to start my career right out of college.  The company relocates you... to NYC, which for me was the opportunity of a lifetime.  I was given many responsibilities here and overall felt I was compensated fairly.  They train you to be very productive, and that helps when looking for a new career."
"573","Good for starters, opportunities to practice leadership skills"
"574","Very entrepreneurial for a large company"
"575","young and lively; a lot of good and knowledgable colleagues. pay is good in comparison with other similar companies."
"576","Good work-life balance, okay salary"
"577","- Awesome Benefits (health, dental, vacations
- Generous Leave time opportunities
- Free Food (if you like junk food)"
"578","- value staff, recognize talents
- great employee benefits
- encourage internal transfer"
"579","There is a good amount of career mobility between departments and roles in the company. Also they encourage creativity for their employees."
"580","Great team members, friendly environment"
"581","Great benefits. Free food. Decent pay. Special events. Most of the people are nice. That pretty much sums up most of what's good."
"582","""Safe"" job. Good starting point in financial sector, but don't stay for too long. Good brand/product"
"583","Very agile when projects need to be done, fast recognition (both positive and negative) . Open access to all personnel from the President to the junior most developer. Strong preference to build products than buy"
"584","have chance to pick up knowledge about finance, culturally diverse, moderate working hours"
"585","- Bright, motivated & friendly colleagues (mostly young, you'll always find someone if you want to go for drinks)
- Very diverse workforce
- Generous benefits & well-stocked pantry
- Lots of learning opportunities (internal trainings)
- Many community engagement activities (volunteer projects, galas and etc)
- Stable job"
"586","good working condition, helping managerial staff, overall good experience"
"587","nice people, good benefit, flexible schedule, a lot of activities"
"588","Great benefits 
Good Networking opportunities
Great opportunity for individuals that are very driven, motivated, enthusiastic.  
Very fast paced environment"
"589","Nice benefits.
The open office design at 731 Lexington encourages communication, for many people, intimidates some.
The Bloomberg terminal is a primary tool of the global financial elite."
"590","Multicultural environment in London, ambitious young people, meritocratic structure"
"591","i really really love this place"
"592","Got some really good developers that you can learn from. Bang in the middle of Manhattan. Pays decently well."
"593","Nice looking place and good people"
"594","Extensive training program.  Broad introduction to capital markets and financial products"
"595","- Relatively easier to get in, no previous experience is required, just interest in financial markets is good enough.
- Sponsor international workers
- Offers you the opportunity to learn about different asset classes, talking about an overview rather than in depth knowledge. 
- Decent entry level salary
- A good brand name on CVs"
"596","Money is pretty good, but matchable in most cases. Almost no layoffs.Offices are nice. Many things about the product are remarkable. They have the money to try to do a really excellent job. If only their editorial leadership were better.Much better place for customers than employees."
"597","fun, creative, mentoring, learning, exciting"
