answer_re,answer_re_n
The access to resources and client information.,
The access to resources and client information.,
"Foreign employees literally pay for work visa, available option to relocate/transfer to different city once you're hired. A lot of financial product training, because this role accepts a lot of fresh grads/people with no finance background. You can leave work on the dot. If you have kids/family issues, work from home is an option. Coffee and breakfast are sponsored. Many volunteer programs all employees can... participate. If you're a driven learner, it's easy to get started & mingle with other experienced employees.","pay, work, home"
"Generous benefits, laid back, flexible, full of smart people","smart, people"
"Corporate Events, Corporate Housing or Stipend, Competitive Wage, Intern Events, Hardworking Friendly Engineers",
Great offices around the world and great perks too! Full huge kitchen to have snacks,"snacks, great"
"Everyone here is smart, friendly, and on board to help each other learn.",
"Benefits are good, pantry and free breakfast in the morning",free
"Competent, friendly, supportive people. Good company tech support.",company
Great work/life balance if you have a family. Option to work from home is very appealing. Great maternity leave and benefits.,"balance, work, home"
Good company with good benefits,"benefits, company"
"Ótima empresa para se iniciar carreira. Muitas oportunidades de desenvolvimento, através de palestras e cursos. Preocupação com o bem estar do funcionário, possibilidade de se engajar em projetos voluntários, café da manhã diário. Cultura forte de meritocracia, equipes sentam lado a lado permitindo uma melhor e mais fácil comunicação entre as áreas.",
"- Buona cultura, ho incontrato persone molto intelligenti - Azienda orientata all'innovazione, le idee di tutti vengono prese in considerazione - Cibo e bevande gratis - Salario buono",
Get to learn many useful skills,
Various opportunities to meet different types of people- especially in the pantry throughout the day,
They have a kitchen space with free snacks and beverages for all and also a nurse on premises. Most executives are also open to meeting with managers and providing advice and mentorship. Great k plans and networking opportunities.,"snacks, free"
"Dentre os pontos positivos certamente incluem-se a boa quantidade de snacks, chás, sucos e cafés disponíveis gratuitamente e o incentivo contínuo ao aprendizado, através de trainamentos.",
"benefits are huge, only thing to look forward too",benefits
The best reasons to work at Bloomberg are the colleagues. You will work with some of the best and brightest people who truly believe in teamwork.,"work, people"
"Very high exposure to the company, helps to get a full time offer. Many learning opportunities. interns very well treated.",
"venue, fishtanks, free coffees and snacks at modern caf","snacks, free"
Good work life balance and mobility across regions. Projects with responsibility available,"work, balance"
Extra effort that reap results are eventually rewarded.,
"Pretty flexible, interesting stuff to do if your project is interesting",
"International and diverse environment, fast paced, good benefits for full time employees","benefits, fast"
Amazing company to work with.,"work, company"
Some of the best colleagues I've ever worked with - very diverse crowd.,
great values in the office,great
Great place to work - lots of resources and great compensation.,"great, work, place"
"Proactive company, fosters leadership. Excellent place to work if a programmer","work, place"
Good compensation and medical benefits,"benefits, compensation"
Good compensation and medical benefits,"benefits, compensation"
Great company to work for.,"work, company"
Brilliant Developers Excellent Engineering Management Smart Product Managers Great Benefits,
Bloomberg provide unlimited beverages and snacks to all employees and contractors. People are nice,snacks
#NAME?,"environment, fast"
"flexible, some team leaders very willing to give you many opportunities",
"Free breakfast, snacks, beverages. Relaxed atmosphere.",
"Really good company, everyone helps each other and you have space to prove your value. If you work hard, everyone congrats you for that.",work
"great training, supportive work environment, good benefits/compensation, good work/life balance","great, work, balance"
"Great benefits, nice culuture, friendly people.",friendly
"Good Benefits, Free Health Care,",
"Good opportunities for advancement via Sales or other departments. Work hard, make connections and you can do anything that you want. Good on the job training, too.",
"Flexible environment to work in. Everyone comes across helpful and cooperative . Flat structure where employees have massive impact, contribution in their prof. Development Very multi cultural Dynamic and fast pace","environment, work, fast"
"Free breakfast, lunch, snacks, good company culture","company, culture"
Great benefits and learning centre,benefits
"- Great functional challenges. In Bloomberg you work in many ""small"" problems and you see how clients use them. - Many team have their clients in the same building, this makes the development cycle much smoother. - Pay way above the market and raises ",work
"amazing place to work- food everywhere, very nice supervisors who looked out for me, many chances to network and meet people outside of my own department","food, place, people"
"- Fast, ever-changing. There's always a new target - Newer hires get a lot of responsibility. You will be making meaningful contributions within a few weeks of joining, and will have the opportunity to plan out your systems and try out new things - Go",
Buena formación y una quedada alucinante en Londres. Me sentí orgulloso de representarlos en el campus. Lo haría otra vez.,
"innovative, fast paced, open to new ideas",fast
"innovative, fast paced, open to new ideas",fast
"Great healthcare benefits, Great snacks, Great perks, Lots of free tickets to all events in NYC",free
Working with really smart people,"smart, people"
"Good community, employee events, free snacks, great working environment, modern offices","free, great, working"
Good People Good work-life balance Straightforward daily tasks Great office(s),balance
"good insurance, benefits, k. fancy building, free snacks. However, any other tech company would have at least this level of benefits.","free, company"
"The perks of working at Bloomberg are great. Good salary, great benefits, and an education that rivals the best intern programs or after college programs you can probably pay for. Great if you want to get a basic knowledge of all financial markets.","great, pay, working"
#NAME?,"food, company"
"Nice environment friendly managers, great location to work in, can easily get to the offices. massive food court with lots of varieties. offices are very modern.","great, friendly, work, food, environment"
Good compensation and benefits. Great leadership by Mike Bloomberg. Very positive experience to be a part of this company. Many chances to relocate including overseas.,compensation
Incredible Team Great Community World renowned talent on both the terminal and media sides,
"Amazing opportunities for developing new skills, connecting with brilliant colleagues from different departments and businesses, and unparalleled access to the finance community via the Bloomberg platform. You'll get to work with some of the most amazing people in an open, dynamic culture of constant evolution.","work, culture, people"
"company compensates employees better than most in the news business benefits are competitive local staff treated mostly equally as expats, unlike at many other news organizations","benefits, company"
Generally nice colleagues and access to the terminal Free food and nice staff,food
"- great workplace environment, everyone seems friendly - many classes that interns can take - you're doing work that (usually) actually matters","great, work, friendly"
Visually appealing work environment. Nice perks like food pantry. Nice opportunities to volunteer.,"work, food"
Possui ótima estrutura de trabalho. Grande possibilidade de crescimento e aprendizado. Ótima administração. Compreensão por parte da empresa.,
The internship provided me a platform for development. All the team was helpful at all the time and I can say that I have majorly gown in knowledge,
"Everything is open. Transparency is a core value! There are no walls. Everyone can see everyone. Nobody has their own office NOT EVEN BLOOMBERG HIMSELF. Free snacks are superb, except for the M&Ms.",snacks
"Other than compensation and benefits, there are none.",compensation
Benefits were unbeatable across all industries!,
friendly colleague ( mostly) Good place to have a very relaxed job with medium pay,"place, friendly, pay"
Team dynamics is the best part,
Its a great organization to work for. Superb benefits and great work life balance. The work ends when you walk out the door in the evening. The awesome Pantry also helps !,"great, benefits, work"
"Free food, terminal exposure,",
#NAME?,"snacks, hours, free, management, working"
Great company to work for,"work, company"
good benefits/ good business location,
Flat management structure with access to higher management at ease,management
"Work Visa, nice food in office, very attractive people !","food, people"
"Good Pay,Snacks and drinks,good office",
"Great working environment, nice package, enjoy all the food and staff benefits","benefits, food, working"
"Amazing benefits, free food, smart co-workers, access to the terminal","free, smart"
"Great benefits. Free snacks, drinks and fruits. Good balance between life and work. No pressure or shouts from trading floor like typical investment banks.","balance, pressure"
Great benefits. Innovative company. Good growth opportunity depending upon the division assigned. Some independence in business decisions. Rewarded well for being a team player. Salary could be better but overall pretty good given the fantastic benefits.,
"Great benefits. Good pay. Decent work. Bright, nice people to work with. Very responsive support systems. You will never have to wait for help to get software installed, and if you have a doctor bill that doesn't make sense they have reps that will literally do all the work to make sure you are getting all the benefits you are entitled to. They rock at reducing friction between you and your job. No one ever says... ""that's not my job"" And since its privately owned, the profits go to Bloomberg Philanthropies which champions great programs and brings a net positive value to the world.","great, benefits, work, people"
Vibrant and open environment and culture,"environment, culture"
"Amazing perks: business travel perks are beyond stellar, health care great, K matching high, in office perks include free snacks and coffee. Great people","snacks, health, free, people"
"A empresa investe alto no bem-estar do funcionário. Tem alto impacto social na cidade, o que é positivo. Tem uma infra excelente, além de proporcionar um alto grau de aprendizado.",
"Free snacks, summer picnic, good health benefits, get to work with smart people. weeks vacation (when you're actually able to take it.)","work, smart, health"
"Good Benefits, nice people, great office",great
"Bloomberg has a very specific culture and they work very hard at maintaining the stability, integrity, happiness and fairness for all their employees across all work domains. They really strive to take care of you and also are very focused on their clients and supporting them. Their culture is however a bit entrenched and rigid so you either like it or you don't. Overall the company is extremely stable, performs... well and runs smoothly. They also managed not to fire anyone during the economic downturn of which says a lot about how they operate. One last plus in their favor is that they are very green, conscientious about the environment, therefore they do a lot of recycling and energy saving. For a large NY corporation this is very rare! Lastly, as an engineer, you will work with some of the brightest people in the city. Bloomberg goes to crazy lengths at attracting the best of the best.","work, culture, people, company"
"Good pay and benefits, great offices, and great people to work with. But, not a place to work if you want to have a life outside the office. There is lots of corporate talk about how they support work-life balance, but when push comes to shove, they really don't.","people, pay, work, place, great"
Good place for recent graduates to build knowledge. Bloomberg Philanthropies does great work with the profits.,"great, work, place"
Everybody is very accommodating and friendly,friendly
"Benefits (free massages); healthy snacks, cool workspace, floor layout. Management is one of the best - they know how to run a company. Dominant position in the space it is in. Constantly innovating though some areas do a better job than other",
Nice food great team I love it there,"great, food"
"Glamorous company, good salaries benefits and lots of perks.",benefits
"Reasonable salaries, reasonable work-life balance, good retirement and insurance package. They promote innovation, philanthropy and having fun.",insurance
"Reasonable salaries, reasonable work-life balance, good retirement and insurance package. They promote innovation, philanthropy and having fun.",insurance
Food - free breakfast and essentially lunch Medical/dental is free at the moment,free
Great place to work! Great culture! Pays well.,place
Famous product and CEO. Great name in the industry. Beautiful offices. Free snacks. Very solid health benefits. Open workspace for all.,health
"Enriching experience, very professional. Challenging work, everyday was different. Never had to worry about work getting monotonous. Fast paced, dynamic. Learnt a lot about giving back to the community. Great HR team.",work
"a lot of opportunities to develop products, flexible work schedule","work, flexible"
A pro is the Open culture,culture
#NAME?,"salary, company, management"
"Always learning, encourage team work.",
"Good pay, benefits. Lots of good people here, great CEO","great, people"
"Lots of opportunities to move withing department if you find something you like, and even work overseas. Great management who are willing to support and help you grow","work, management"
Fantastic manager to work for - she was extremely responsive to my needs and it was a pleasure working for her.,"work, working"
Excellent work environment and outstanding colleagues,"environment, work"
I worked at Bloomberg for over years. It was a great place to grow in my career in move up in the ranks. Their compensation and bonus package are unbeatable.,"great, place, compensation"
Relaxed working environment. Food always available for free in the pantry. Nice colleagues. Good start of a career. Terminal knowledge.,"free, working"
"flat company structure, collaborative and open culture","company, culture"
"Things move fast, anticipate changes to progress, flat structure, can be any role you want, great pantry and benefits","great, benefits"
"highly motivated, thoughtful people with solutions driven mentality. A lot of room for growth both horizontally and vertically across the company. An overall general sense that the company is looking out for your best interests as an employee.","company, people"
"Excelent benefits, nice environment, great place to learn","great, place"
"Transparent, exciting, buzzing with enthusiasm, fast-paced, equal opportunity employer.",
"Transparent, exciting, buzzing with enthusiasm, fast-paced, equal opportunity employer.",
"Excelente empresa, benefícios, preocupação com o bem estar e voluntariado. Ambiente que envolve a todos e encanta pela magnitude do escritório, eficiência nos serviços e resultados.",
Great team of editorial and technical people Shows produced are first of its kind in Malaysia High quality work,"work, people"
good company at terminal level,company
Some of the best reasons to work at Bloomberg? It's warm in the winter and cool in the summer. You are always aware of breaking news. The building is pretty...,work
Good Food and Snack. Good Brand Name on the resume CV.,
"Good perks, receive many tools to succeed and develop personal skills.",
Free Food is available for all employees. Firm provides sufficient training and resources for new employees.,
"Exceptional benefits, including gold-plated health insurance coverage, up to $, k match, generous education reimbursement policy and weeks paid maternity/ weeks paid paternity leave.","insurance, health"
"Bloomberg is a fast paced, very exciting and competitive place to work with opportunities in many different fields and in many metropolitan locations worldwide.","work, fast, place"
"good compensation, good benefits, free snacks","snacks, free"
"BLP is a safe and diverse environment. If you like structure and quality training, this is the place for you. The benefits are excellent and the pay is fair.","benefits, place, pay"
"Company treats employees well - good pay, benefits, vacation time, etc. Nice offices, everybody can see windows, lots of snacks Teamwork is encouraged, you don't get isolated unless you want to be Lots of things going on, doesn't get boring Depending which team you are on, fascinating projects to work on They make tons of money and are privately held, they can power thru economic downturns like -... without layoffs","snacks, work"
Work with smart people Great benefits Constantly challenged to improve Good training benefits Pretty good job security The terminal is an amazing tool,"benefits, smart, people"
"Great work environment, learn a LOT about the markets, great culture and fellow employees","great, work, culture"
"Flexible work hours, Various career growth paths",work
"Perks - lunch, K, pretty good healthcare, great pay.",great
"Free food, no stress, no chances to get fired",
Everything we do is important and for a purpose. All the projects help the company out and no one treats you any less than any other employee.,company
"good pay, good benefits, and very flexible work hours","work, flexible, hours"
Lots to learn from environment,environment
"Good place to start your career, good place to meet people and build your general knowledge at least in the Data side of the company. Good salary and benefits, well know brand.","salary, place, people"
#NAME?,benefits
"Empresa que preza a qualidade de vida e respeito aos funcionários. Ótimos benefícios, salários competitivos e facilidade de conseguir uma recolocação no exterior.",
"Good Pay and for regular employees, good benefits",benefits
"people are first class. very bright and motivated. Bloomberg has hired experts in many diifferent aspects of technology, finance, and news in one place. Flexible work style accomodated.","work, people"
"Constant learning, fast pace, meritocracy, energetic inspiring environment. Innovating products. Great offices.",fast
) Good company with great training as a fresher ) Great Food,"great, company"
"Fast Paced Challenging Environment with lots of accessible technical/proudct knowledge Great Company culture and working environment Accessible communication between management, departments very clear hierarchy system","environment, culture, working"
"Good reputation, good work life balance","work, balance"
"Flat structure , easy to learn a lot of knowledge",
"Young, optimistic community with a can do attitude in the Analytics department.",
"great working environment and benefits, multiple challenges","environment, great, working"
Positive outlook New hires feel welcome Open to new ideas,
Very open culture and work day. You can mostly decide what to prioritize and what to focus on at the job. Free food.,"work, culture"
-Good experience for new graduates who'd like to get into finance / banking -Pretty offices wish fish tanks -Lots of sugary snacks,snacks
client exposure is excellent; you'll build a great network,great
Good training. Learn a lot. Impressive on resume,
"Wonderful people to work with, flexible schedule, understanding about family issues, unlimited sick days, great medical and dental coverage for the whole family","great, work, flexible, people"
"good work life balance, not much stress if you preform",work
"Great pay, great fish tanks, not publicly held, most everyone is smart, Mike knows what he is doing, is that words yet?",great
Modelo de gestão baseado na meritocracía; excelente ambiente de trabalho; colaboradores com alto nível acadêmico e intelectual; processo constante de treinamento e oportunidades de desenvolvimento profissional e pessoal.,
"Great community outreach, better technology processes in the pipeline. Much improved over the years.",
"Excellent benefits, free lunch, lots of problems to solve and an overall push for technical growth for everyone. Management encourages you to try new things and encourages growth. Managers allow you your independence and there is not a lot of hand holding.",free
Excellent opportunities to learn about the markets and to get in-depth knowledge about how an asset class work. A lot of young people makes for a social and fun workplace. Benefits are great. No expectation to work extended hours is really appreciated.,"work, people, hours"
learning curve is high for the first six month,
"Benefits are great, they start day and you don't pay for benefits. They have a pantry so all the snacks and drinks you can get.","snacks, pay"
"A very dynamic and multicultural company. The company culture prompts being sociable– the pantry (all day, everyday), meritocratic system, great office space, can engage in helping society, e.g volouteer etc.","great, company, culture"
The culture is fun and exciting,culture
Good pay for the later years,pay
"Great community, employer cares about employees.",
Low hierachy Benefits Open cultures Pantry like a minimart,
Good salary and not very busy,salary
Fun and interesting job for college students,
There is high exposure to the financial markets with their different roles. As a company it is extremely multicultural and has mostly young staff which creates a good atmosphere.,company
Free food! That's it. Let you listen to music while working.,
"Beautiful work environment, strong IT support, fast-paced culture, incredible employee benefits.",work
"The people that you actually connect with, will be friends for life. There are definitely opportunities for you to grow personally, but they are not always obvious.",people
Somewhere to work as a backup plan between jobs. Free toilet paper. Free snacks. Free training how to be a better Bloomberg employee.,work
"The salary may seem a little low, but you save money with the free breakfast, lunch, and if you stay late enough, dinner. All positions are unique. You are given a job title, but you can organize it how you want to. You could do more work on the coding side, on projects, or both.","free, work, salary"
Free snacks. Casual dress. That's it.,
great place to develop your career and take on more responsibilities flat structure and collaborative and entrepreneurial environment you are surrounded by smart and driven people,"great, people, smart, place, environment"
Dynamic and vibrant atmosphere. Good mix of European and Global workforce which makes for a diverse workplace. Good week training program for new recruits to give you a thorough understanding of how the markets work and how Bloomberg sits in the market place as a competitor.,"work, place"
"Good benefits for family, they take care of you if you are loyal to them. Big company therefore opportunities to move around also. I was there for nearly years and was able to create multiple roles for myself as a software engineer. Great place to learn about technology and business.","benefits, place, company"
"Solid benefits, snacks, office and office environment.",
Great culture and a nice place to work,"work, place, culture"
good benefits and good working enviroment.,"benefits, working"
Great work environment in a fast paced open space. People are great all working towards one goal of customer satisfaction.,"great, paced, work, fast, working, environment"
Great work environment and great employees. A lot of networking opportunities.,"environment, work, great"
"Good salary and benefits, smart people to work with","work, smart, salary, people"
"Good salary and benefits, smart people to work with","work, smart, salary, people"
Great Benefits and a nice place to work with nice people Free food Clean work environment Will learn skills that will benefit you in life,"people, work, place, food, environment"
Good Benefits and salary for starting job,salary
"Training opportunities, free food, great philanthropy and sustainability goals, excellent benefits","free, benefits, great"
great work life balance. Great food. very encouraging work environment. Cool atmosphere. Casual Friday. developed additional skill set while working there,"great, work, working"
Good benefits/time off plans. A lot of flexibility around your schedule and travel schedule.,
Great software engineers as coworkers.,
"Good infrastructure, benefits and work culture. Employees work hard. Everything is streamlined. All issues (non-technical) are resolved very fast and efficiently. Extremely good insurance and other benefits (including free museums, Employee assistance programs, summer picnic, volunteering opportunities etc.)","benefits, insurance, work, fast, free"
"Young crowd, hardworking, lots of opportunity to move internally. Lots of perks for full time employees and looks great on CV. Decent salary, bonus ok and almost guaranteed.",great
"The company is well known and it gives you the opportunity to find a better job afterwards, due to its reputation.",company
#NAME?,"smart, options, working"
Prestigious company to work for!,"work, company"
"Amazing benefits, beautiful facilities, free pantries, youthful and energetic culture, great mobility and opportunities, snacks, positive energy, you can stay many years and have many different jobs. Pay is good and raises very nice.","free, great"
Encourage to work outside comfort zone continuously.,work
Free breakfast and lunch everyday. Nice people to work with and a foot in the door at one of the best companies to work for.,"work, people"
Greet company to be apart of,company
#NAME?,"benefits, management"
Flexible and relaxed culture Exposure to all the market players in finance relatively easy to shine Great benefits and work life balance,"benefits, work, culture, balance"
"Salary, travel, Bloomberg culture and summer party. Oh and the kitchen! Rewards are few and far between. % of your eval will concentrate on the % of things to improve on",culture
Great benefits. Professional Staff. Team Environment,
"The hours are not bad at all, working - or less depending on your team. When at work, it is very easy to only actually do roughly hours of work per day and spend the rest browsing the news (as a shockingly large number of people do), or working on your resume & linkedin, or writing scathing glassdoor reviews. K and all benefits are great. There are some really great people here as well, it's just that most of... them will be out the door sooner or later for a better opportunity.","benefits, people, work, hours, working, great"
"-lots of snacks and drinks -great pay -great ""culture""","snacks, pay"
"BBG has incredible Innovation, benefits, career advancement, an compensation. Great firm to launch or finish career as advancement is based on merit.",
Free snacks Clean office Access to a lot of news around the world Great if you're right out of college but not a long term job,snacks
free food really bright people lots of training philanthropic company competitive salary,"people, food, free, salary, company"
"Superbe société, une ferrari dans son domaine, expérience trés enrichissante... Tout est bien huilé et fonctionne de manière optimale...",
"There are good benefits, snacks and state of the art equipment. Standards are very high but there is also training to help you get better at your job through Bloomberg University",snacks
small team with hardworking employees,
"Free food, good overal overview of financial players and the freedom to go and sit with our departments. Good pay",pay
Very competitive salaries. Some of the best benefits I've found anywhere. Lots of opportunity to move around within the company.,benefits
Very competitive salaries. Some of the best benefits I've found anywhere. Lots of opportunity to move around within the company.,benefits
"free snacks, cool office, great benefits","free, benefits, great"
 weeks fully paid maternity leave. no premiums on health insurance for self and children. matching k up to percent. days vacation.,"insurance, health"
Flexible organization and open to allowing you to move divisions and countries,
Good opportunity very international young team of motivated people,people
Good place for starters and learners.,place
#NAME?,benefits
"Awesome environment, approachable management",management
nice offices looks cool bloomberg in house technology,
Learn the basics of buy-side workflow in a strong team environment. Two-week training in New York City.,
"Free food, k, health benefits, Mike Bloomberg",health
"Part of Bloomberg. Very stable compared to your average company, especially financial firms. Really do take a long-term view. Lots of people who have been with the company for many years. In general I would say Bloomberg takes good care of its people and it's a good place to start a career. Being part of Bloomberg can have a lot of advantages. A lot of potential here.","place, people, company"
"Good opportunity and good growth, can learn a lot, always wanted to do this kind of job where it is of my interest.",
"Benefits, Travel, Policies are the best anyone can offer",
"focus on employee, dynammic, results,",
"Good benefits, free snacks, and one of the better compensation packages available in my field. Technological resources are plentiful.","free, compensation"
Great company to start a career immediately after college. Excellent training program with financial markets boot camp.,company
pay is low since an Agent took a lots.,pay
"Challenging environment, Great People and culture",culture
"Different regions, a lot to learn, hotel points",
Family atmostphere everyone is friendly,friendly
"In NYC, good starting point if interested in Financial field.",
There are some interesting SaaS technologies being used.,
professional colleagues and well structured business lots of opportunities and clear career path good brand for your resume LOADS of Benefits volunteering opportunities,
"The company provides thorough training opportunities, but to be honest, they are only useful for non finance major students, very basic knowledge that every finance major would have known in college. The company claims they have great corporate culture, which may be true from some point of view. Colleagues can be supportive sometimes.","great, company"
"Good Culture, Free Food, Great Health Benefits",
Great company culture. Phenomenal place to launch your career.,"place, company"
Good company and good people,"company, people"
Great place to work! Lovely people and very nice work environment,"environment, work, place, people"
Nice to go on the mornings. Friendly colleagues. Interested clients.,
"Great benefits, great company structure, and lots of room to build your career whether in the financial side or technical side.","great, company"
#NAME?,management
"Beautiful facilities, free snacks/drinks, and the ability to innovate inside and outside of your domain. Dedication to philanthropy is second-to-none and embedded in the culture. The best part of Bloomberg is that you move really quickly due to a lack of red tape -- projects that would usually take - years at banks take only a few months at Bloomberg. If you embrace the culture, it's a really fun place to work.","free, place"
"* Awesome colleagues - like family * Beautiful offices with lots of open space, and killer fish tanks * Lots of opportunities to do philanthropic work, and rewards for it * Cadillac benefits * Great parties and events * Who doesn't want to run into Mike on a daily basis? * Charlie Rose is filmed in the NY office and you see famous people all the time * Great free food.","free, benefits, people"
"Good benefits (k, fully paid health benefits, decent salary). Nice office","benefits, health"
"Fun, fast-paced work environment, beautiful building, great perks","great, work"
Innovative workforce in a dynamic workplace. Very high caliber colleagues.,
Bloomberg people focus on getting results. Get early early enough and get unanounced additions to the free breakfast.,"free, people"
"Perks, good pay, different teams and cultures, friendly",friendly
"Bloomberg is a very progressive company, they provide a ton of value to their consumers. Rewarding place to work.",place
"Benefits, training, perks, connections in the industry",
Great company and people are smart. The office is very cool and they send you down to their Princeton Office atleast once a week to work with other teams,"work, company, people"
Great product that continues to develop. Mike Bloomberg has grown a wonderful organization. Great people and culture. Benefits are exceptional.,people
"benefits, sometimes good projects, open place",place
"the breakfast, really that's all",
"Good experience, smart people, good perks",smart
"great place to start, good name on resume","great, place"
"a) It's mostly software company thus software developers are treated as first class citizens which is not that common for NYC; b) Competitive benefits (base + bonus, K, medical, etc) c) Great life-work balance (flexible schedule, work days vacation, sick leaves, work from home, etc) d) Broad range of projects and architectures - client/server, unix, windows, mobile, Java, C, C++, C#","benefits, work, company, balance"
"Great benefits, great people, lots of flexibility",great
"Good work environment, well known company, not just in finance industry but outside as well. Good continuous trainings while working there, so if you are keen to learn you can improve your knowledge in whatever area a lot.","work, working"
"Good work environment, well known company, not just in finance industry but outside as well. Good continuous trainings while working there, so if you are keen to learn you can improve your knowledge in whatever area a lot.","work, working"
"Great people, great pay, and lots of opportunities to develop your skills or learn new ones. The pantry is fully stocked with food and drinks. There is no shortage of company amenities as manager permits.","great, food, company"
"There is free food, it is always a good name on your CV, they have nice and modern equipment and offices.",free
"Great benefits, opportunities for volunteering, matching charitable donations. Bloomberg is a stable company with a strong history and commitment to philanthropy, and lots of opportunities for taking classes in finance.",company
Good amount of responsibility applied very early on. If you push your manager they will give you the opp to move forward quickly,
Great transparency between management and staff. Lots of room for growth. Decent office perks like fresh fruit and juice. They respect the work to life balance.,"work, management"
"I have some very fond memories of working at BNEF. As a unit of Bloomberg it has its own unique culture and atmosphere, stemming from the days before the acquisition. The analysts are extremely smart, picked from a wealth of talent - available from the best schools. The sales teams are focussed and driven. Performance is rewarded on a team basis, which has its drawbacks, but ultimately fosters a collegiate... environment where people work for each other.","people, work, culture, working, environment"
#NAME?,"people, working"
"good company, all hands on deck philosophy, Bloomberg culture and values, philanthropy. Efficient management, very successful company.",culture
"My pros fall into four key areas: the people, the space, the exposure to senior management, and the balance. The people: My co-workers are a great bunch of people, many of whom have become my close friends. It's a supportive environment that encourages collaboration -- and I know I can lean on my team when I need them. Plus, my colleagues are super smart and they make me laugh. Overall, Bloomberg employees are... very hard-working, and I respect that kind of work ethic. The space: Lex knocks it out of the park. There's no other office building in NYC like it! The building is always buzzing with energy (and the occasional celebrity). Exposure to senior management: I am very thankful to be put on projects supporting the company's senior leaders. I feel respected when working with people levels above me, and most of the time, I feel as though my work is valued. The balance: (Disclaimer: I imagine this is very dependent on who your manager is.) My boss is very understanding. If I need to leave early or work from home, I leave early or work from home. I can still manage work, school, and my social life. Granted, some nights I stay late to get my work done, but they serve a pretty delicious dinner at PM, which helps.","great, people, work, smart, working, environment, senior"
"Great benefits: Four weeks paid vacation, a company-match k that is above average, reimbursement for attorney registration, maternity leave, wage works program, a decent reimbursement for exercise expenses, and of course free snacks and drinks all day. Career development programs: Bloomberg offers a ton of classes for employees through a program called 'Bloomberg University'. You can learn the in's and... out's of finance as well as take classes to increase your technical abilities in XML, Excel, and basic programming. There are also courses to improve public speaking, conflict management other useful business/interpersonal skills. Volunteer Opportunities: The volunteer programs at Bloomberg at top-notch and really one of the most impressive parts of the company. There are employee k's, big brother reading programs, and even opportunities to help build homes with habitat for humanity. The culture encourages participation and in many instances Bloomberg will even match personal donations to many causes. Diverse community of peers: There is no real 'type' at Bloomberg and that seems to be an intentional part of the hiring practices to ensure diversity. I've worked with men and women of all backgrounds and always encountered a respectful and thoughtful interaction between my peers. A decent HR program ensures that people act like professionals and even minor issues are quickly addressed. I definitely feel a sense of pride to work for an inclusive community that encourages diversity.","snacks, people, work, free, culture, management"
#NAME?,"environment, work, company, people"
They do care about you and your career path; good salary; good chance to learn about finance,
Bloomberg can be a really good place to be. The news is important and usually standards are very high which keeps you motivated to perform.,place
"Great name on the resume, smart people, snacks.",smart
"smart people, good management, proffessional",smart
Lay back work environment. Free snacks.,work
#NAME?,"smart, culture, people"
There a a lot of bright and great people in the company. Opportunities to learn and develop exist as well,"great, people"
"one of the most sophisticated set of products in the industry you will be working along with very clever people if you can learn and sell all Bloomberg platforms, you will be able to work anywhere and sell anything","work, people, working"
"one of the most sophisticated set of products in the industry you will be working along with very clever people if you can learn and sell all Bloomberg platforms, you will be able to work anywhere and sell anything","work, people, working"
"Spacious space with very sophisticated decoration. Office is colorful, bright and delightful, which makes everyone at peace. Everyone is open to communication.",
Provides an enabling environment to learn about the financial markets. Provides the necessary to tools to upgrade your skills in Finance,environment
"Benefits, benefits, benefits . . . and snacks . . . and awesome physical facilities","snacks, benefits"
Global Company. Good office outlook. Health Benefit. Finishes on time.,
A very honest environment to work in,"environment, work"
"If you like finance, this is really a good place to go",place
"Free food, resonable work/life balance, decent benefits and healthcare plan.",benefits
Collaborative Work Place. Free Food.,
Great company with many great and smart people. Exposure to an amazing environment.,"great, smart, company"
"Yes you learn a lot, and get to go one some decent meetings. Yes you can have a comfortable career in sales. And yes, one of the perks is the pantry - years at Bloomberg now, very competitive salary, not far off doubled what I started on. International movement.",
"Free food, volunteer opportunities, company matching for some philanthropic donations",company
"The pantry is a nice perk, and the set hours, not required to work weekends or too much overtime. Depends on the office you work out of",work
"Free snacks, good office design",
"A fast paced environment, where R&D works closely with product managers as a partner.","fast, paced"
"Exceptional offices, perks, and working environment. There are some amazing people in various parts of the organization. Pay is great... if you negotiate on your way in. If they really want you, they will literally pay whatever you ask.","pay, people, working"
"Bloomberg is a very fast-paced company, the only constant at Bloomberg is change. We value innovation, we enourage people to step out of their comfort zone, take calculated risk, so long as you have the key stakeholders on board, it can be done right away - benefits of being a privately owned company! I worked at a couple of banks before joining Bloomberg, I've moved on to do different roles at Bloomberg within the... last years, I'm still learning everyday! Everyone is given opportunity to shine, it's up to the individual to take it or leave it. This company truly values people, especially top performers, there is clear distinction in compensation between top and average performers for the same role. Now is a great time to be with a well-established Fin-Tech company!","benefits, people, compensation, great, company"
Great benefits. Excellent salaries for software developers. Autonomy/self direction are encouraged.,
Princeton office provides free lunch.,free
"Very friendly culture and flat environment, everyone is happy to help you","culture, friendly"
Good work life balance. Friendly environment,"environment, work"
"benefits, hours. not too much else.",
The company has a hire bar of compensation comparable to top tier high tech companies.,"company, compensation"
"""some"" of the people are cool.",people
"Reputation, international culture, environment, philanthropist",
"Great environment, good perks and benefits",benefits
